hp_name,degree
Cranial nerve compression,26
Proximal muscle weakness in upper limbs,26
Dysmetric saccades,26
Axonal loss,26
Malnutrition,26
Multiple suture craniosynostosis,26
Chronic lymphatic leukemia,26
Esophagitis,26
Reticular retinal dystrophy,26
Tethered cord,26
Hyperconvex fingernails,26
Oromandibular dystonia,26
Abnormal hemoglobin,26
Equinovarus deformity,26
Ovarian fibroma,26
Nevus sebaceous,26
Intermittent diarrhea,26
Abnormal earlobe morphology,26
Ulnar deviation of the hand,26
Septate vagina,26
Muscle flaccidity,26
Conjunctival hamartoma,26
Squared iliac bones,26
Abnormal tendon morphology,26
Late chronotype,26
Aplasia/Hypoplasia of the distal phalanges of the toes,26
Cleft earlobe,26
Verrucae,26
Elongated radius,26
Midline defect of the nose,26
Left ventricular outflow tract obstruction,26
4-5 finger syndactyly,26
Abnormal circulating vitamin B12 concentration,26
Lip hyperpigmentation,26
Ungual fibroma,26
Nuclear cataract,26
Hypoplasia of the antihelix,26
Abnormal ear morphology,26
Elevated circulating 17-hydroxyprogesterone concentration,26
Bilateral renal atrophy,26
Hypoplastic iliac body,26
Congenital craniofacial dysostosis,26
Areolar fullness,26
Mild intrauterine growth retardation,26
Midline skin dimples over anterior/posterior fontanelles,26
Decreased compound muscle action potential amplitude,26
Unilateral microphthalmos,26
Tibial deviation of toes,26
"Positive 2,4-dinitrophenylhydrazine urine test",26
Parietal foramina,26
Septo-optic dysplasia,26
Absent vestibular function,26
Pregnancy exposure,26
Sacrococcygeal pilonidal abnormality,26
Episodic metabolic acidosis,26
Decreased corneal thickness,26
Abnormality of hair pigmentation,26
Abnormal vertebral epiphysis morphology,26
Abnormal bronchus morphology,26
Quotidian fever,26
Retinal crystals,26
Abnormality of the glenoid fossa,26
High intestinal obstruction,26
Pituitary carcinoma,26
Abnormality of the columella,26
Large carpal bones,26
Posterior uveitis,25
Exercise-induced muscle cramps,25
Thoracolumbar scoliosis,25
Aspiration,25
Thoracic hypertrichosis,25
Ganglioside accumulation,25
Bipolar affective disorder,25
Cytochrome C oxidase-negative muscle fibers,25
Congenital finger flexion contractures,25
Chorioretinal atrophy,25
Metabolic alkalosis,25
Increased circulating IgG level,25
Abnormal upper motor neuron morphology,25
Decreased calvarial ossification,25
Shortening of all distal phalanges of the toes,25
Malar rash,25
Hypoplasia of the thymus,25
Neuroblastoma,25
Disturbed sensory perception,25
Oral-pharyngeal dysphagia,25
Increased CSF interferon alpha,25
Reduced hemolytic complement activity,25
Chorioretinal dysplasia,25
Abnormal circulating calcium-phosphate regulating hormone concentration,25
Buphthalmos,25
Pituitary corticotropic cell adenoma,25
Abnormality of mental function,25
Enteroviral hepatitis,25
Retinal pigment epithelial atrophy,25
Chronic oral candidiasis,25
Aplasia/Hypoplasia of the phalanges of the hallux,25
Anterior rib cupping,25
Protrusio acetabuli,25
Hypertrophic auricular cartilage,25
Long neck,25
Small intestine carcinoid,25
Pulmonary bulla,25
Woolly hair,25
Absent tibia,25
Calcaneovalgus deformity,25
Recurrent gastroenteritis,25
Mottled pigmentation,25
Hypoplastic fifth toenail,25
Chronic infection,25
Broad chin,25
Persistent head lag,25
Abnormal central microtubular pair morphology of respiratory motile cilia,25
Erysipelas,25
Polycystic liver disease,25
Upper limb amyotrophy,25
Duplication of renal pelvis,25
Submandibular lymph node enlargement,25
Upper eyelid coloboma,25
Abnormality of the fontanelles or cranial sutures,25
Hypoperistalsis,25
Large beaked nose,25
Mirror image foot polydactyly,25
Congenital chorioretinal dystrophy,25
Advanced ossification of carpal bones,25
Pulmonary artery hypoplasia,25
Congenital pseudoarthrosis of the clavicle,25
Congenital nephrotic syndrome,25
Diffuse palmoplantar hyperkeratosis,25
Gonadal neoplasm,25
Calcification of the auricular cartilage,25
Long-chain dicarboxylic aciduria,25
Elevated transferrin saturation,25
Convergence-retraction nystagmus,25
Rickets of the lower limbs,25
Thoracic hemivertebrae,25
Thyroid crisis,25
Cystocele,25
Decreased dermal collagen,25
Symphalangism of the 5th finger,25
Axonal regeneration,25
Hypokalemic hypochloremic metabolic alkalosis,25
Cone-shaped distal radial epiphysis,25
Telangiectasia of the oral mucosa,25
Endopolyploidy on chromosome studies of bone marrow,25
Compound muscle action potential amplitude facilitation,25
Adrenocortical hypoplasia,25
Cutaneous angiolipomas,25
Absent foot,25
Broad tibial metaphyses,25
Preaxial foot polydactyly,24
Typical absence seizure,24
Increased blood urea nitrogen,24
Unossified vertebral bodies,24
Malignant hyperthermia,24
Incomprehensible speech,24
Peptic ulcer,24
Periorbital edema,24
Atrophy/Degeneration involving the corticospinal tracts,24
Increased total bilirubin,24
Peripheral visual field loss,24
Hip flexor weakness,24
Poikilocytosis,24
Dilated fourth ventricle,24
EEG with spike-wave complexes,24
Tubulointerstitial fibrosis,24
Hepatic cysts,24
Distal arthrogryposis,24
Cataplexy,24
Abnormality of chromosome stability,24
Parathyroid agenesis,24
Poikiloderma,24
Proximal renal tubular acidosis,24
Rieger anomaly,24
Narrow greater sciatic notch,24
Abnormal rib cage morphology,24
Abnormal helix morphology,24
Abnormal chorioretinal morphology,24
EEG with focal spikes,24
Myoclonic spasms,24
Conical tooth,24
Pectus excavatum of inferior sternum,24
Hyperactive patellar reflex,24
Abnormal mediastinum morphology,24
Bone fracture,24
Cystic liver disease,24
Epigastric pain,24
Ewing sarcoma,24
Increased intraabdominal fat,24
Fetal distress,24
Uterine leiomyoma,24
Self hugging,24
Absent paranasal sinuses,24
Lens luxation,24
Irregular proximal tibial epiphyses,24
Inflammatory abnormality of the skin,24
Pulverulent cataract,24
Abnormal venous morphology,24
Hypometric saccades,24
Abnormal nasopharynx morphology,24
Six lumbar vertebrae,24
Diastema,24
Abnormal mandible morphology,24
Intestinal fistula,24
Upper limb phocomelia,24
Club-shaped proximal femur,24
Nonketotic hyperglycinemia,24
Finger symphalangism,24
Bulging epiphyses,24
Cerebellar agenesis,24
Decreased corneal sensation,24
Hyperprolinemia,24
Thickened cortex of long bones,24
Retinal infarction,24
Posterior scalloping of vertebral bodies,24
Midline facial cleft,24
Interphalangeal joint erosions,24
Descending aortic aneurysm,24
Pericallosal lipoma,24
Moderate to late preterm birth,24
Abnormal circulating testosterone concentration,24
Prolonged central motor conduction time,24
Impaired Ig class switch recombination,24
Hyperintensity of MRI T2 signal of the spinal cord,24
Gastrointestinal duplication,24
Hypoplasia of the tooth germ,24
Paraspinal muscle hypertrophy,24
Facial cleft,24
Abnormal pulmonary valve morphology,23
Abnormality of amino acid metabolism,23
Osteopoikilosis,23
Dentinogenesis imperfecta,23
Small epiphyses,23
Abnormal foot bone ossification,23
Prolonged QTc interval,23
Right ventricular dilatation,23
Facial erythema,23
Dyspareunia,23
Chronic sinusitis,23
Recurrent bronchopulmonary infections,23
Abnormal social behavior,23
Anemia of inadequate production,23
Acanthocytosis,23
Recurrent paroxysmal headache,23
Shoulder girdle muscle atrophy,23
EMG: myotonic discharges,23
Hematemesis,23
Frontotemporal dementia,23
Low back pain,23
Aplasia/Hypoplasia of the nipples,23
Vocal cord paresis,23
Oral mucosal blisters,23
Epiphora,23
Abnormal circulating interleukin concentration,23
Delusion,23
Pulmonary artery atresia,23
"Spontaneous, recurrent epistaxis",23
Abnormal oral cavity morphology,23
Chronic (near) absent circulating IgG4,23
Hypoinsulinemia,23
Parathyroid carcinoma,23
Increased circulating insulin-like growth factor 1 concentration,23
Erectile dysfunction,23
Abnormal platelet function,23
Decreased lymphocyte proliferation in response to mitogen,23
EEG with generalized slow activity,23
Pendular nystagmus,23
Heat intolerance,23
Reduced factor XI activity,23
Olfactory lobe agenesis,23
Partial albinism,23
Short greater sciatic notch,23
Renal malrotation,23
Abnormal internal genitalia,23
Brushfield spots,23
Abnormal dense granules,23
Right ventricular failure,23
Pelvic bone exostoses,23
Decreased circulating copper concentration,23
Abnormality of hair texture,23
Nuchal rigidity,23
Atypical teratoid/rhabdoid tumor,23
Decreased circulating complement C6 concentration,23
Cortical irregularity,23
Short telomere length,23
Abnormality of thumb phalanx,23
Depressed glabella,23
Abnormality of the tarsal bones,23
Shoulder dislocation,23
Absent hair,23
Prolonged G2 phase of cell cycle,23
Episodic quadriplegia,23
Absent lacrimal punctum,23
Aplasia/Hypoplasia of the sacrum,23
Convergence excess esotropia,23
Mesomelic/rhizomelic limb shortening,23
Block vertebrae,23
Hypoplastic superior helix,23
Transient hyperlipidemia,23
Premature chromatid separation,23
Overfolding of the superior helices,23
Advanced tarsal ossification,23
Posterior rib gap,23
Abnormal limb bone morphology,23
Duplication of the distal phalanx of hand,23
Curved distal phalanges of the hand,23
Subcortical band heterotopia,23
Abnormal caudate nucleus morphology,23
Aplasia/Hypoplasia of the middle phalanx of the 5th finger,23
Microangiopathic hemolytic anemia,23
"Elevated circulating N,N-dimethylglycine concentration",23
Microvillus inclusions,23
Abnormal macrophage morphology,23
Hypoplastic right heart,23
Aortic tortuosity,23
Occlusive arterial disease,23
Mesoaxial hand polydactyly,23
Decreased proportion of class-switched memory B cells,23
Mesangial Immune complex deposition,23
Megakaryocyte nucleus hyperlobulation,23
Abnormal thoracic spine morphology,23
Prominent coccyx,23
Abnormal scrotal rugation,23
Decreased circulating apolipoprotein C-II concentration,23
Scapulohumeral synostosis,23
Gonadal calcification,23
Posterior wedging of vertebral bodies,23
Metaphyseal enchondromatosis,23
Tetralogy of Fallot with pulmonary stenosis,23
Abnormality of jaw muscles,23
Scalp hair loss,23
Chondritis,23
Abnormal Langerhans cell morphology,23
Ectopic scrotum,23
Aplasia of the inner ear,23
Deformed humeral heads,23
Morphological abnormality of the pyramidal tract,23
Low levels of vitamin D,23
Unilateral cleft lip,22
Reduced factor VIII activity,22
Iridocyclitis,22
Hyperextensibility of the finger joints,22
Budd-Chiari syndrome,22
Unconjugated hyperbilirubinemia,22
Agenesis of permanent teeth,22
Decreased light- and dark-adapted electroretinogram amplitude,22
Abnormal EKG,22
Chronic bronchitis,22
Mitochondrial myopathy,22
Choking episodes,22
Axial muscle weakness,22
Abnormal renal tubule morphology,22
Abnormal morphology of female internal genitalia,22
Short 2nd finger,22
Extrapyramidal muscular rigidity,22
Retinal nonattachment,22
Drusen,22
Testicular atrophy,22
Lens subluxation,22
Preeclampsia,22
Skin-picking,22
Hamartoma,22
Limited elbow flexion,22
Peripheral arteriovenous fistula,22
Oral cavity telangiectasia,22
Ovarian gonadoblastoma,22
Cochlear degeneration,22
Rotary nystagmus,22
Neurofibroma,22
Asymmetry of the thorax,22
Lobulated tongue,22
Urethral atresia,22
Anhydramnios,22
Premature coronary artery atherosclerosis,22
Abnormal hair whorl,22
Labial pseudohypertrophy,22
Uplifted earlobe,22
Bone marrow hypercellularity,22
Phocomelia,22
Abnormal urine potassium concentration,22
Abnormality of the Leydig cells,22
Progressive spastic quadriplegia,22
Generalized hypopigmentation of hair,22
Vitreous hemorrhage,22
Restrictive cardiomyopathy,22
Vitreoretinal degeneration,22
Arterial rupture,22
Cardiogenic shock,22
Agyria,22
BCGitis,22
Flared humeral metaphysis,22
Gaze-evoked horizontal nystagmus,22
Anisocoria,22
Recurrent ear infections,22
Abnormality of dental eruption,22
Absent patellar reflexes,22
Diffuse axonal swelling,22
Abnormality of lower limb joint,22
Laryngeal web,22
4-5 metacarpal synostosis,22
Congenital kyphoscoliosis,22
Atlantoaxial abnormality,22
Lop ear,22
Bifid ureter,22
Hypoplastic female external genitalia,22
Lethal short-limbed short stature,22
Upgaze palsy,22
Tapering pointed ends of distal finger phalanges,22
Congenital hypoparathyroidism,22
Elevated urinary 5-amino-4-imidazolecarboxamide-riboside level,22
Microvillar PAS-positive secretory granules,22
Short 3rd toe,22
Hyperglycinemia,22
Abnormal eye morphology,22
Abnormal aryepiglottic fold morphology,22
Tubulonodular pericallosal lipoma,22
Gastroschisis,22
Premature peripheral vascular disease,22
Abnormal circulating leucine concentration,22
Histidinuria,22
Necrotizing enterocolitis,22
Retractile testis,22
Cutaneous amyloidosis,22
Phakodonesis,22
Irregular ossification at anterior rib ends,22
Narrow pelvis bone,22
Paraseptal emphysema,22
Iliac artery aneurysm,22
Spondylitis,22
Acute megakaryocytic leukemia,22
Congenital visual impairment,22
Persistent cloaca,22
Bifid nail,22
Abnormal nasal base,22
Abnormal vas deferens morphology,22
Scintillating scotoma,22
Linear hyperpigmentation,22
Abnormality of central retinal artery,22
Single median maxillary incisor,22
Arterial thrombosis,21
Abnormal long bone morphology,21
Hypoplastic nasal bridge,21
Delayed ossification of carpal bones,21
Pulmonary insufficiency,21
Enlarged thorax,21
Synostosis of joints,21
Limb joint contracture,21
Weakness of the intrinsic hand muscles,21
Glomerular sclerosis,21
Intrahepatic cholestasis,21
Sudden unexpected death in epilepsy,21
Delayed fine motor development,21
Transient global amnesia,21
Upper airway obstruction,21
Seborrheic dermatitis,21
Multifocal cerebral white matter abnormalities,21
Increased serum serotonin,21
Ependymoma,21
Folate-dependent fragile site at Xq28,21
Hypouricemia,21
Ulcerative colitis,21
Methioninuria,21
Concave nail,21
Bifid ribs,21
Hypoplastic iris stroma,21
Short lower limbs,21
Multiple epiphyseal dysplasia,21
Proximal radio-ulnar synostosis,21
Generalized osteosclerosis,21
Hypofibrinogenemia,21
Lacticaciduria,21
Bile duct proliferation,21
Megalopapilla,21
Abnormal nervous system physiology,21
Arteriosclerosis,21
Abnormal localization of kidney,21
Aortic valve calcification,21
Tooth malposition,21
Congenital bilateral hip dislocation,21
Lozenge-shaped umbilicus,21
Abnormality of the larynx,21
Chronic furunculosis,21
Reticulocytopenia,21
Spondyloepimetaphyseal dysplasia,21
Broad metatarsal,21
Alternating exotropia,21
Allergic rhinitis,21
Happy demeanor,21
Impaired vibration sensation at ankles,21
Aplasia cutis congenita over the scalp vertex,21
Aphalangy of the hands,21
Underfolded helix,21
Aculeiform cataract,21
Podocyte foot process effacement,21
Smooth tongue,21
Adactyly,21
Diffuse leukoencephalopathy,21
Abnormal hard palate morphology,21
Subretinal pigment epithelium hemorrhage,21
Fragmented epiphyses,21
Malar prominence,21
Green urine,21
Increased level of 3-hydroxy-3-methylglutaric acid in urine,21
Nonspecific interstitial pneumonia,21
Decreased mean corpuscular volume,21
Abnormal glycosphingolipid metabolism,21
Streaks of hyperkeratosis along each finger onto the palm,21
Femoral arterial calcification,21
Increased CSF isoleucine concentration,21
Left superior vena cava draining directly to the left atrium,21
Reduced protein C activity,21
Anterior basal encephalocele,21
Cervicitis,21
Absent fetal nasal bone,21
Caseous vernix-like desquamation,21
Increased circulating hypoxanthine concentration,21
Reduced muscle enolase activity,21
Arthralgia/arthritis,21
Maxillozygomatic hypoplasia,21
Unilateral brachydactyly,21
Premature epimetaphyseal fusion,21
Hyperpituitarism,21
Duplicated colon,21
Blood group antigen abnormality,21
Abnormality of earlobe,21
Hypopigmentation of the fundus,20
Broad face,20
Impaired platelet aggregation,20
Biconvex vertebral bodies,20
Dry hair,20
Abnormality of the abdominal wall,20
Biliary cirrhosis,20
Proximal tubulopathy,20
Thoracic kyphoscoliosis,20
Simple febrile seizure,20
Episodic hyperhidrosis,20
Sleep-wake cycle disturbance,20
Decreased DLCO,20
Elevated circulating D-dimer concentration,20
Chronic CSF lymphocytosis,20
Parkinsonism with favorable response to dopaminergic medication,20
Abnormal foveal morphology,20
Pattern dystrophy of the retina,20
Absent microvilli on the surface of peripheral blood lymphocytes,20
Systolic heart murmur,20
Focal myoclonic seizure,20
Metatarsus valgus,20
Hypoplastic cervical vertebrae,20
Rhizomelic arm shortening,20
Intestinal bleeding,20
Testicular gonadoblastoma,20
Atrophy of alveolar ridges,20
Lambdoidal craniosynostosis,20
Lymphangioma,20
Oral cavity bleeding,20
Intraventricular hemorrhage,20
Reduced progressive sperm motility,20
Sensory ataxia,20
Peroneal muscle atrophy,20
Oligodactyly,20
Narrow nasal ridge,20
Colonic atresia,20
Alveolar bone loss around teeth,20
Increased neutrophil mitochondria,20
Low neutrophil alkaline phosphatase,20
Communicating hydrocephalus,20
Cortical thickening of long bone diaphyses,20
Upper eyelid edema,20
Scanning speech,20
Supernumerary vertebrae,20
Trichorrhexis nodosa,20
Intracranial cystic lesion,20
Hypertropia,20
Inferior oblique muscle overaction,20
Abnormal carpal morphology,20
Severe sensorineural hearing impairment,20
Abnormal eating behavior,20
Testicular adrenal rest tumor,20
Increased head circumference,20
Poliosis,20
Decreased circulating T4 concentration,20
Progressive spastic paraparesis,20
Abnormal sputum,20
Reduced respiratory ciliary beating frequency,20
Spastic/hyperactive bladder,20
Concave nasal ridge,20
Recurrent infection of the gastrointestinal tract,20
Abnormal postural reflex,20
Subungual hyperkeratosis,20
Viral hepatitis,20
Nail-biting,20
Aplasia of the thymus,20
Vertebral clefting,20
Synotia,20
Thickened ears,20
Dysplastic pulmonary valve,20
Abnormal distal phalanx morphology of finger,20
Anterior rib punctate calcifications,20
Radioulnar dislocation,20
Oral synechia,20
Congenital pyloric atresia,20
Decreased mean corpuscular hemoglobin concentration,20
Abnormality of the female genitalia,20
Short 2nd toe,20
Common carotid artery aneurysm,20
Median cleft lip and palate,20
Intermittent claudication,20
Abnormality of the periosteum,20
Cranium bifidum occultum,20
Hypoplasia of the midbrain,20
Elevated tissue non-specific alkaline phosphatase,20
Hypermobility of toe joints,20
Ulnar claw,20
Cone-shaped metacarpal epiphyses,20
Malposition of the stomach,20
Hypoplastic optic chiasm,20
Decreased beta-galactosidase activity,20
Band-shaped corneal dystrophy,20
Abnormal pericardium morphology,20
Brachytelomesophalangy,20
Abnormal pulmonary artery morphology,20
Abnormal reticulocyte morphology,20
Retroperitoneal fibrosis,20
Abnormal cellular immune system morphology,20
Hypocalcification of dental enamel,20
Sparse facial hair,20
Abnormal choroid morphology,19
Cleft soft palate,19
Abnormal nasal morphology,19
Hair-pulling,19
Migraine with aura,19
Chemosis,19
Abnormal circulating lipid concentration,19
Reduced vital capacity,19
Episodic ataxia,19
Hypoplasia of the frontal lobes,19
Abnormality of bone mineral density,19
Olivopontocerebellar atrophy,19
Inappropriate behavior,19
Antineutrophil antibody positivity,19
Reduced blood folate concentration,19
Mild postnatal growth retardation,19
Pilonidal sinus,19
Ovarian cyst,19
Spontaneous hematomas,19
Normochromic anemia,19
Progressive encephalopathy,19
Pancreatic hypoplasia,19
Nonketotic hypoglycemia,19
Heteronymous hemianopia,19
Reduced lymphocyte surface expression of CD43,19
Thick cerebral cortex,19
Perineal hypospadias,19
Eclabion,19
Abnormal oral mucosa morphology,19
Abnormal circulating lactate dehydrogenase concentration,19
Partial duplication of thumb phalanx,19
Costal cartilage calcification,19
Ulnar deviation of the hand or of fingers of the hand,19
Acetabular dysplasia,19
Abnormality of the middle ear ossicles,19
Neoplasm of the small intestine,19
Intussusception,19
Diffuse mesangial sclerosis,19
Abnormality of nail color,19
Impaired distal proprioception,19
Recurrent staphylococcal infections,19
Fibroma,19
Decreased nasal nitric oxide,19
Absent muscle fiber merosin,19
Cerebral artery atherosclerosis,19
Precocious atherosclerosis,19
Widely patent fontanelles and sutures,19
Congenital muscular torticollis,19
Hypoplasia of the fallopian tube,19
Extrahepatic biliary duct atresia,19
Type 2 muscle fiber atrophy,19
Fibular aplasia,19
Widely-spaced maxillary central incisors,19
Hypoketotic hypoglycemia,19
Hypoglycemic coma,19
Hypopigmented macule,19
Carpal bone hypoplasia,19
Abnormal globus pallidus morphology,19
Attached earlobe,19
Frontal upsweep of hair,19
Shagreen patch,19
Fundus atrophy,19
Finger aplasia,19
Decreased circulating renin level,19
Flank pain,19
Sacral lipoma,19
Abnormal lumbar spine morphology,19
Joint contracture of the 5th finger,19
Midface capillary hemangioma,19
Metacarpal osteolysis,19
Flared nostrils,19
Congenital localized absence of skin,19
Multinodular goiter,19
Severe short-limb dwarfism,19
Large joint dislocations,19
Flat forehead,19
Macrozoospermia,19
Osteopathia striata,19
Posteriorly placed anus,19
Megaloblastic bone marrow,19
Palmoplantar cutis gyrata,19
Axillary pterygium,19
Short proximal phalanx of thumb,19
Abnormality of the abdominal organs,19
Eversion of lateral third of lower eyelids,19
Iris flocculi,19
Ovarian serous cystadenoma,19
Amyoplasia,19
Pulmonary aterial intimal fibrosis,19
Abnormal prostate morphology,19
White oral mucosal macule,19
Abnormality of body weight,19
Abnormal echocardiogram,19
Diastomatomyelia,19
Aplasia/Hypoplasia of toe,19
Decreased plasma carnitine,19
Flattened epiphysis,18
Prolonged bleeding after dental extraction,18
Cystoid macular edema,18
Polyarticular arthritis,18
Abnormal inflammatory response,18
Abnormal nostril morphology,18
Restricted chest movement,18
Hip subluxation,18
Reduced forced vital capacity,18
Exaggerated startle response,18
Supranuclear gaze palsy,18
Elevated alkaline phosphatase of bone origin,18
Neurofibrillary tangles,18
Prominent antihelix,18
Aplasia of the 1st metacarpal,18
Cellular immunodeficiency,18
Uterine neoplasm,18
Abnormal immunoglobulin level,18
Calcification of the aorta,18
Vitreoretinopathy,18
Pituitary gonadotropic cell adenoma,18
Oculomotor nerve palsy,18
Saccadic smooth pursuit,18
Recurrent hand flapping,18
Choroideremia,18
Small vessel vasculitis,18
Pyelonephritis,18
Ascending aortic dissection,18
Neoplasm of the adrenal cortex,18
Epiretinal membrane,18
Elevated total serum tryptase,18
Xanthomatosis,18
Neurodevelopmental abnormality,18
Hypophosphatemic rickets,18
Bifid uterus,18
Aplasia of the right hemidiaphragm,18
Visual acuity test abnormality,18
Post-partum hemorrhage,18
Subdural hemorrhage,18
Renal phosphate wasting,18
Hypergranulosis,18
Elbow contracture,18
Curved toe phalanx,18
Glenoid fossa hypoplasia,18
Chorioretinal dystrophy,18
Prelingual sensorineural hearing impairment,18
Abnormality of somatosensory evoked potentials,18
Square face,18
Hypogeusia,18
Type 2 muscle fiber predominance,18
Cyclopia,18
Recurrent upper and lower respiratory tract infections,18
Focal dystonia,18
Abdominal colic,18
Abnormal pulmonary vein morphology,18
Enlarged platelet dense granules,18
Absent fourth finger distal interphalangeal crease,18
Abnormal esophagus morphology,18
Accessory oral frenulum,18
Trichodysplasia,18
Frontal encephalocele,18
Dicarboxylic aciduria,18
Hypoplasia of the premaxilla,18
Camptodactyly of 2nd-5th fingers,18
Cleft at the superior portion of the pinna,18
Bilateral conductive hearing impairment,18
Medial deviation of the foot,18
Postaxial polydactyly type A,18
Crumpled long bones,18
Renal tubular epithelial necrosis,18
Thin toenail,18
Conspicuously happy disposition,18
Cutis gyrata of scalp,18
High iliac wing,18
Elevated circulating 7-dehydrocholesterol concentration,18
Otosclerosis,18
Increased megakaryocyte count,18
Perioral erythema,18
Achilles tendon calcification,18
Corneal crystals,18
Reduced alpha-methylacyl-CoA racemase activity in cultured fibroblasts,18
Long fibula,18
Urinary bladder inflammation,18
Abnormal uvula morphology,18
Red eye,18
Abnormal ST segment,18
Anteriorly displaced urethral meatus,18
Asymmetry of iris pigmentation,18
Renal interstitial amyloid deposits,18
Cuboidal metacarpal,18
Elevated alpha-fetoprotein,18
Everted upper lip vermilion,17
Flexion contracture of toe,17
Lethal skeletal dysplasia,17
Decreased amplitude of sensory action potentials,17
Abnormal spermatogenesis,17
Palmoplantar hyperhidrosis,17
Bladder diverticulum,17
Elevated brain lactate level by MRS,17
Psychotic mentation,17
Lacrimal duct atresia,17
Limb dysmetria,17
Generalized clonic seizure,17
Oval face,17
Metaphyseal cupping of metacarpals,17
Conjunctival telangiectasia,17
Pancreatic cysts,17
Hyperechogenic kidneys,17
Fatigable weakness of bulbar muscles,17
Absent fingernail,17
Birth length less than 3rd percentile,17
Limb-girdle muscular dystrophy,17
Narrow foramen obturatorium,17
Ankle swelling,17
Rheumatoid arthritis,17
Glioblastoma multiforme,17
Retinal hemorrhage,17
Vasculitis in the skin,17
Micronodular cirrhosis,17
Zollinger-Ellison syndrome,17
Fourth cranial nerve palsy,17
Adenoma sebaceum,17
Obsessive-compulsive trait,17
Poor motor coordination,17
Lymphoproliferative disorder,17
Interictal EEG abnormality,17
Elevated urine acetoacetic acid level,17
Decreased proportion of CD3-positive T cells,17
Absent axillary hair,17
Paroxysmal dystonia,17
Focal aware seizure,17
Granuloma,17
Ectopic ossification in ligament tissue,17
Increased circulating androstenedione concentration,17
Enlarged cochlear aqueduct,17
Leukonychia,17
Macular hypoplasia,17
Laryngeal dystonia,17
Lateral clavicle hook,17
Neuromuscular dysphagia,17
Right atrial enlargement,17
Impaired glucose tolerance,17
Subcutaneous calcification,17
Focal T2 hyperintense basal ganglia lesion,17
Decreased activity of mitochondrial complex III,17
Erythroid hypoplasia,17
Reduced upper to lower segment ratio,17
Lateral ventricular asymmetry,17
Medullary thyroid carcinoma,17
Protuberances at ends of long bones,17
Right ventricular cardiomyopathy,17
Palmoplantar erythema,17
Hypoplastic hippocampus,17
Abnormal circulating porphyrin concentration,17
Increased circulating interleukin 18 concentration,17
Bacteremia,17
Uncombable hair,17
Bilateral cleft lip and palate,17
Hyaline membranes,17
Absent platelet dense granules,17
Dermoid cyst,17
Asymmetry of spinal facet joints,17
Poorly ossified cervical vertebrae,17
Two carpal ossification centers present at birth,17
Hypoplastic philtrum,17
Increased circulating Interferon-alpha concentration,17
Intrahepatic biliary atresia,17
Patchy variation in bone mineral density,17
Hand monodactyly,17
Cerebral cortical hemiatrophy,17
Honeycomb palmoplantar hyperkeratosis,17
Shoulder pain,17
Shortening of all middle phalanges of the fingers,17
Pseudopapilledema,17
Acute myelomonocytic leukemia,17
Elbow ankylosis,17
Abnormal isoelectric focusing of serum transferrin,17
Conjunctival dermolipoma,17
Pulmonary artery vasoconstriction,17
Elevated jugular venous pressure,17
Type E brachydactyly,17
Anterior wedging of L1,17
Decerebrate rigidity,17
Renal cortical hyperechogenicity,17
Elevated bronchoalveolar lavage fluid neutrophil proportion,17
Alaninuria,17
Decreased platelet glycoprotein Ib,17
Abnormality of the orbital region,17
Recurrent singultus,17
Thin zona pellucida,17
Contracture of the proximal interphalangeal joint of the 2nd toe,17
Airway hyperresponsiveness,17
Hippocampal sclerosis,17
Streaky metaphyseal sclerosis,17
Calcification of the interosseus membrane of the forearm,17
Enlarged vertebral pedicles,17
Abnormality of the malleus,17
Abnormality of the incus,17
Oligodontia of primary teeth,17
Abnormal hemidiaphragm morphology,17
Mucinous histiocytosis,17
Arteritis,17
Unusual CNS infection,17
Dumbbell-shaped humerus,17
Abnormality of skeletal morphology,17
Impaired use of nonverbal behaviors,17
Increased thyroid-stimulating hormone level,17
Gastrointestinal angiodysplasia,16
Visual fixation instability,16
Femoral hernia,16
Left ventricular noncompaction,16
Left atrial enlargement,16
Congenital ichthyosiform erythroderma,16
Acute infectious pneumonia,16
Productive cough,16
Abnormality of the ankle,16
Hyperacusis,16
EMG: decremental response of compound muscle action potential to repetitive nerve stimulation,16
Abnormality of masticatory muscle,16
Erythematous plaque,16
Choroidal neovascularization,16
Elevated urinary epinephrine level,16
Elevated urinary norepinephrine level,16
Panic attack,16
Hypoventilation,16
Liver abscess,16
Muscle fibrillation,16
Degeneration of the lateral corticospinal tracts,16
Perseverative thought,16
Restrictive behavior,16
Impaired distal vibration sensation,16
Primitive reflex,16
Abnormal occipital bone morphology,16
Aplasia/Hypoplasia of the distal phalanges of the hand,16
Aplasia/Hypoplasia of the hallux,16
Increased circulating interferon-gamma concentration,16
Knee osteoarthritis,16
Macroscopic hematuria,16
Abnormality of the vasculature,16
Multiple gastric polyps,16
Thyroid carcinoma,16
Carcinoma,16
Descending thoracic aorta aneurysm,16
Abnormality of the philtrum,16
Recurrent bacterial skin infections,16
Facial hypertrichosis,16
Venous insufficiency,16
Constitutional symptom,16
Testicular torsion,16
Cervical kyphosis,16
Acroparesthesia,16
Esophageal neoplasm,16
Oral melanotic macule,16
Bloody diarrhea,16
Pseudohypoparathyroidism,16
Calcinosis,16
Thickened superior cerebellar peduncle,16
Abnormal acetabulum morphology,16
Reduced lysosomal acid lipase activity,16
Acrokeratosis,16
